Time,GuiPids,GuiPrivateBytes,GuiCPU,CorePids,CorePrivateBytes,CoreCPU,Ports
2026-09-07T00:05:42.1848212+08:00,[19264],[158810112],[7.875],[432],[71438336],[16.234375],"[7890, 7891, 9090]"
2026-09-07T00:05:47.2551079+08:00,[19264],[158810112],[7.890625],[432],[71438336],[16.265625],"[7890, 7891, 9090]"
2026-09-07T00:05:52.3404217+08:00,[19264],[158810112],[7.90625],[432],[71438336],[16.296875],"[7890, 7891, 9090]"
2026-09-07T00:05:57.4074472+08:00,[19264],[158810112],[7.921875],[432],[68096000],[16.296875],"[7890, 7891, 9090]"
2026-09-07T00:06:02.4381541+08:00,[19264],[158810112],[7.921875],[432],[68096000],[16.390625],"[7890, 7891, 9090]"
2026-09-07T00:06:07.5285642+08:00,[19264],[158810112],[7.921875],[432],[68120576],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:12.5909847+08:00,[19264],[158810112],[7.9375],[432],[68120576],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:17.6403987+08:00,[19264],[158810112],[7.953125],[432],[68153344],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:22.7055331+08:00,[19264],[158810112],[7.96875],[432],[68153344],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:27.7631722+08:00,[19264],[158810112],[7.984375],[432],[68186112],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:32.8250124+08:00,[19264],[158810112],[8.03125],[432],[68186112],[16.40625],"[7890, 7891, 9090]"
2026-09-07T00:06:37.8506765+08:00,[19264],[158810112],[8.046875],[432],[68292608],[16.453125],"[7890, 7891, 9090]"
2026-09-07T00:06:42.8756356+08:00,[19264],[158810112],[8.0625],[432],[68325376],[16.484375],"[7890, 7891, 9090]"
2026-09-07T00:06:47.9272284+08:00,[19264],[158810112],[8.078125],[432],[68325376],[16.515625],"[7890, 7891, 9090]"
2026-09-07T00:06:52.9964962+08:00,[19264],[158810112],[8.078125],[432],[68325376],[16.5625],"[7890, 7891, 9090]"
2026-09-07T00:06:58.0785056+08:00,[19264],[158781440],[8.109375],[432],[68653056],[16.625],"[7890, 7891, 9090]"
2026-09-07T00:07:03.1280674+08:00,[19264],[158810112],[8.125],[432],[68718592],[16.625],"[7890, 7891, 9090]"
2026-09-07T00:07:08.2145789+08:00,[19264],[158810112],[8.140625],[432],[68718592],[16.65625],"[7890, 7891, 9090]"
2026-09-07T00:07:13.2628462+08:00,[19264],[158810112],[8.15625],[432],[68718592],[16.734375],"[7890, 7891, 9090]"
2026-09-07T00:07:18.3328980+08:00,[19264],[158810112],[8.171875],[432],[68718592],[16.8125],"[7890, 7891, 9090]"
2026-09-07T00:07:23.3856274+08:00,[19264],[158810112],[8.1875],[432],[68718592],[16.8125],"[7890, 7891, 9090]"
2026-09-07T00:07:28.4454084+08:00,[19264],[159866880],[8.21875],[432],[68681728],[16.8125],"[7890, 7891, 9090]"
2026-09-07T00:07:33.5151611+08:00,[19264],[158810112],[8.21875],[432],[68755456],[16.828125],"[7890, 7891, 9090]"
2026-09-07T00:07:38.5771928+08:00,[19264],[158810112],[8.234375],[432],[68755456],[16.828125],"[7890, 7891, 9090]"
2026-09-07T00:07:43.6288132+08:00,[19264],[158810112],[8.25],[432],[68755456],[16.84375],"[7890, 7891, 9090]"
2026-09-07T00:07:48.6580527+08:00,[19264],[158810112],[8.265625],[432],[68788224],[16.953125],"[7890, 7891, 9090]"
2026-09-07T00:07:53.7410309+08:00,[19264],[158810112],[8.265625],[432],[68788224],[16.96875],"[7890, 7891, 9090]"
